season,week,date,home_team,home_xg,score,away_xg,away_team,referee,game_id,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored,away_goals_scored,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_match_points,away_match_points,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1920,2,2019-08-17,arsenal,0.8,2-1,1.5,burnley,Mike Dean,ff7eda21,1876.90087891,1696.7902832,"['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Alexandre Lacazette', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nacho Monreal', 'David Luiz', 'Reiss Nelson', 'Joe Willock', 'Mattéo Guendouzi']","['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters']",0.782,0.0159999999999999,1.1,0.9,0.4,1.2,2,1,1,3,0,0,3,0,3,3,0.0,0.0,0
1920,2,2019-08-17,aston villa,2.0,1-2,1.6,bournemouth,Martin Atkinson,7ad0ed82,1614.17553711,1691.47058105,"['Tom Heaton', 'Neil Taylor', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Trézéguet', 'Anwar El Ghazi', 'Björn Engels', 'Ahmed Elmohamady', 'Tyrone Mings']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Charlie Daniels', 'Callum Wilson', 'Adam Smith', 'Harry Wilson', 'Ryan Fraser', 'Philip Billing']",-0.029,0.204,0.7,1.3,2.4,1.3,1,2,1,1,3,1,0,3,0,1,0.0,0.0,2
1920,2,2019-08-17,brighton,2.0,1-1,0.8,west ham,Anthony Taylor,894d0ca5,1640.47888184,1727.70458984,"['Mathew Ryan', 'Shane Duffy', 'Lewis Dunk', 'Dale Stephens', 'Leandro Trossard', 'Pascal Groß', 'Glenn Murray', 'Solly March', 'Martín Montoya', 'Davy Pröpper', 'Dan Burn']","['Łukasz Fabiański', 'Javier Hernández', 'Manuel Lanzini', 'Robert Snodgrass', 'Pablo Fornals', 'Jack Wilshere', 'Angelo Ogbonna', 'Issa Diop', 'Ryan Fredericks', 'Arthur Masuaku', 'Declan Rice']",0.0929999999999999,0.076,0.8,1.1,0.7,3.2,1,1,3,0,0,5,1,1,3,0,0.0,0.0,1
1920,2,2019-08-17,everton,0.7,1-0,1.2,watford,Lee Mason,f35c8c3a,1775.0020752,1669.6583252,"['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Bernard', 'André Gomes', 'Séamus Coleman', 'Jean-Philippe Gbamin']","['Ben Foster', 'Craig Dawson', 'Gerard Deulofeu', 'Troy Deeney', 'Craig Cathcart', 'Abdoulaye Doucouré', 'Will Hughes', 'Kiko Femenía', 'José Holebas', 'Étienne Capoue', 'Roberto Pereyra']",0.248,0.172,1.1,0.7,0.9,0.8,1,0,0,0,0,3,3,0,1,0,0.0,0.0,0
1920,2,2019-08-17,manchester city,2.9,2-2,0.1,tottenham,Michael Oliver,a4ba771e,2047.58081055,1897.41186523,"['Ederson', 'Kyle Walker', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva', 'Nicolás Otamendi']","['Hugo Lloris', 'Danny Rose', 'Toby Alderweireld', 'Davinson Sánchez', 'Harry Winks', 'Harry Kane', 'Érik Lamela', 'Kyle Walker-Peters', 'Moussa Sissoko', 'Christian Eriksen', 'Tanguy Ndombele']",1.543,0.615,3.2,2.4,1.1,0.7,2,2,5,3,0,1,1,1,3,3,0.0,0.0,1
1920,2,2019-08-17,norwich city,1.7,3-1,0.9,newcastle utd,Stuart Attwell,3ea63f4b,1633.75634766,1714.13769531,"['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Grant Hanley', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki']","['Martin Dúbravka', 'Paul Dummett', 'Ki Sung-yueng', 'Fabian Schär', 'Jamaal Lascelles', 'Jonjo Shelvey', 'Joelinton', 'Matt Ritchie', 'Isaac Hayden', 'Emil Krafth', 'Miguel Almirón']",0.0,0.14,0.9,0.4,1.8,1.1,3,1,1,0,4,1,3,0,0,0,0.0,0.0,0
1920,2,2019-08-17,southampton,1.9,1-2,1.3,liverpool,Andre Marriner,b2a48847,1667.22753906,2051.7043457,"['Angus Gunn', 'Maya Yoshida', 'Jannik Vestergaard', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Ryan Bertrand', 'Nathan Redmond', 'Pierre Højbjerg', 'Jan Bednarek', 'Yan Valery']","['Adrián', 'Virgil van Dijk', 'Georginio Wijnaldum', 'James Milner', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Alex Oxlade-Chamberlain', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']",0.133,0.981,1.2,1.8,0.9,0.9,1,2,0,4,3,1,0,3,0,3,0.0,0.0,2
1920,2,2019-08-18,chelsea,1.1,1-1,0.8,leicester city,Oliver Langford,aebf58b9,1872.140625,1740.62561035,"['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', ""N'Golo Kanté"", 'Pedro', 'Kurt Zouma', 'Olivier Giroud', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Emerson Palmieri']","['Kasper Schmeichel', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Hamza Choudhury', 'Ricardo Pereira', 'Wilfred Ndidi', 'Christian Fuchs']",0.578,0.373,1.0,0.7,2.2,0.7,1,1,0,0,4,0,1,1,0,1,0.0,0.0,1
1920,2,2019-08-18,sheffield utd,2.2,1-0,0.3,crystal palace,David Coote,7ca12d31,1627.55615234,1745.76147461,"['Dean Henderson', 'George Baldock', 'Enda Stevens', 'John Fleck', ""Jack O'Connell"", 'Chris Basham', 'John Lundstram', 'Callum Robinson', 'John Egan', 'Oliver Norwood', 'David McGoldrick']","['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Scott Dann', 'Max Meyer', 'Andros Townsend', 'Wilfried Zaha', 'Christian Benteke', 'James McArthur', 'Martin Kelly']",0.0,0.1709999999999999,1.3,0.9,1.3,1.1,1,0,1,0,1,0,3,0,1,1,0.0,0.0,0
1920,2,2019-08-19,wolves,0.3,1-1,1.2,manchester utd,Jonathan Moss,d8a7f871,1727.05090332,1857.65710449,"['Rui Patrício', 'Matt Doherty', 'Ryan Bennett', 'Rúben Neves', 'Raúl Jiménez', 'Willy Boly', 'Conor Coady', 'Diogo Jota', 'Jonny Castro', 'João Moutinho', 'Leander Dendoncker']","['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Anthony Martial', 'Marcus Rashford', 'Jesse Lingard', 'Daniel James', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']",0.367,0.429,0.7,2.2,0.7,1.0,1,1,0,4,0,0,1,1,1,3,0.0,0.0,1
1920,3,2019-08-23,aston villa,1.0,2-0,1.3,everton,Michael Oliver,3e805eff,1609.71691895,1782.04272461,"['Tom Heaton', 'Neil Taylor', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Trézéguet', 'Björn Engels', 'Jota', 'Frederic Guilbert', 'Tyrone Mings']","['Jordan Pickford', 'Michael Keane', 'Richarlison', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Morgan Schneiderlin', 'Bernard', 'André Gomes', 'Séamus Coleman']",-0.086,0.281,2.7,1.8,4.0,2.1,2,0,2,1,5,0,3,0,0,4,0.0,0.0,0
1920,3,2019-08-24,brighton,0.8,0-2,1.7,southampton,Kevin Friend,baece203,1644.1192627,1668.41455078,"['Mathew Ryan', 'Shane Duffy', 'Lewis Dunk', 'Dale Stephens', 'Neal Maupay', 'Florin Andone', 'Leandro Trossard', 'Solly March', 'Martín Montoya', 'Davy Pröpper', 'Dan Burn']","['Angus Gunn', 'Jannik Vestergaard', 'Danny Ings', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Nathan Redmond', 'Pierre Højbjerg', 'Jan Bednarek', 'Kevin Danso', 'Yan Valery']",0.11,0.15,2.8,3.0999999999999996,1.5,2.2,0,2,4,1,1,5,0,3,4,0,0.0,0.0,2
1920,3,2019-08-24,liverpool,2.5,3-1,1.0,arsenal,Anthony Taylor,102b241e,2056.45385742,1882.62329102,"['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']","['Bernd Leno', 'Sokratis Papastathopoulos', 'Dani Ceballos', 'Pierre-Emerick Aubameyang', 'Ainsley Maitland-Niles', 'Nacho Monreal', 'Nicolas Pépé', 'David Luiz', 'Joe Willock', 'Mattéo Guendouzi', 'Granit Xhaka']",1.068,0.7390000000000001,3.1,1.9000000000000001,2.8,1.9,3,1,6,3,2,1,3,0,6,6,0.0,0.0,0
1920,3,2019-08-24,manchester utd,2.5,1-2,1.1,crystal palace,Paul Tierney,7c1c4078,1858.8314209,1739.2833252,"['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Anthony Martial', 'Marcus Rashford', 'Jesse Lingard', 'Daniel James', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']","['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jeffrey Schlupp', 'James McArthur', 'Gary Cahill', 'Martin Kelly']",0.429,0.132,3.4000000000000004,1.2,1.3,3.3000000000000003,1,2,5,0,1,1,0,3,4,1,0.0,0.0,2
1920,3,2019-08-24,norwich city,1.1,2-3,1.5,chelsea,Martin Atkinson,4f4fd2d8,1648.70080566,1869.96850586,"['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Grant Hanley', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki']","['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', 'Ross Barkley', 'Tammy Abraham', 'Kurt Zouma', 'Mateo Kovačić', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Emerson Palmieri']",0.0,0.532,2.6,2.1,2.7,3.0,2,3,4,1,5,5,0,3,3,1,0.0,0.0,2
1920,3,2019-08-24,sheffield utd,0.3,1-2,0.8,leicester city,Andy Madley,48fcf75b,1639.97070312,1748.73425293,"['Dean Henderson', 'George Baldock', 'Enda Stevens', ""Jack O'Connell"", 'Chris Basham', 'John Lundstram', 'Luke Freeman', 'Callum Robinson', 'John Egan', 'Oliver Norwood', 'David McGoldrick']","['Kasper Schmeichel', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Ayoze Pérez', 'Hamza Choudhury', 'Ricardo Pereira', 'Dennis Praet', 'Christian Fuchs']",0.0,0.3259999999999999,3.5,1.5,1.6,1.8,1,2,2,1,1,1,0,3,4,2,0.0,0.0,2
1920,3,2019-08-24,watford,2.3,1-3,3.5,west ham,Chris Kavanagh,89fbf2a3,1668.55407715,1730.00061035,"['Ben Foster', 'Craig Dawson', 'Gerard Deulofeu', 'Tom Cleverley', 'Craig Cathcart', 'Abdoulaye Doucouré', 'Andre Gray', 'Will Hughes', 'Kiko Femenía', 'José Holebas', 'Étienne Capoue']","['Łukasz Fabiański', 'Andriy Yarmolenko', 'Felipe Anderson', 'Manuel Lanzini', 'Mark Noble', 'Angelo Ogbonna', 'Sébastien Haller', 'Issa Diop', 'Ryan Fredericks', 'Arthur Masuaku', 'Declan Rice']",0.135,0.18,1.9,1.9000000000000001,1.5,5.2,1,3,0,1,4,6,0,3,0,1,0.0,0.0,2
1920,3,2019-08-25,bournemouth,2.2,1-3,3.0,manchester city,Andre Marriner,7728bd7e,1701.86572266,2045.06591797,"['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Charlie Daniels', 'Callum Wilson', 'Adam Smith', 'Ryan Fraser', 'Philip Billing', 'Chris Mepham']","['Ederson', 'Kyle Walker', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Kevin De Bruyne', 'Bernardo Silva', 'David Silva', 'Nicolás Otamendi']",0.209,1.708,2.9000000000000004,6.1,3.3,1.2000000000000002,1,3,3,7,2,2,0,3,4,4,0.0,0.0,2
1920,3,2019-08-25,tottenham,1.1,0-1,0.8,newcastle utd,Mike Dean,c224d1e8,1905.86303711,1705.12963867,"['Hugo Lloris', 'Danny Rose', 'Toby Alderweireld', 'Davinson Sánchez', 'Son Heung-min', 'Harry Winks', 'Harry Kane', 'Érik Lamela', 'Kyle Walker-Peters', 'Moussa Sissoko', 'Lucas Moura']","['Martin Dúbravka', 'Paul Dummett', 'Fabian Schär', 'Jamaal Lascelles', 'Joelinton', 'Allan Saint-Maximin', 'Matt Ritchie', 'Isaac Hayden', 'Emil Krafth', 'Miguel Almirón', 'Sean Longstaff']",0.671,0.085,2.5,1.3,3.5999999999999996,2.8,0,1,5,1,3,4,0,3,4,0,0.0,0.0,2
1920,3,2019-08-25,wolves,1.5,1-1,1.6,burnley,Craig Pawson,16119ef2,1741.046875,1697.00439453,"['Rui Patrício', 'Matt Doherty', 'Ryan Bennett', 'Rúben Neves', 'Raúl Jiménez', 'Willy Boly', 'Conor Coady', 'Morgan Gibbs-White', 'Diogo Jota', 'Jonny Castro', 'João Moutinho']","['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters']",0.383,0.0159999999999999,1.0,2.4,1.9,2.0,1,1,1,4,1,2,1,1,2,3,0.0,0.0,1
1920,4,2019-08-31,burnley,0.9,0-3,1.0,liverpool,Chris Kavanagh,af072d61,1701.16247559,2061.48413086,"['Nick Pope', 'Matthew Lowton', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters', 'Aaron Lennon']","['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']",-0.0109999999999999,1.068,4.0,5.6,3.5,3.8,0,3,5,9,3,3,0,3,4,9,0.0,0.0,2
1920,4,2019-08-31,chelsea,2.0,2-2,1.1,sheffield utd,Stuart Attwell,495db223,1875.37658691,1634.08447266,"['Kepa Arrizabalaga', 'Jorginho', 'Ross Barkley', 'Tammy Abraham', 'Kurt Zouma', 'Mateo Kovačić', 'Mason Mount', 'Christian Pulisic', 'César Azpilicueta', 'Fikayo Tomori', 'Emerson Palmieri']","['Dean Henderson', 'George Baldock', 'Enda Stevens', ""Jack O'Connell"", 'Chris Basham', 'John Lundstram', 'Luke Freeman', 'Oliver McBurnie', 'Callum Robinson', 'John Egan', 'Oliver Norwood']",0.49,0.0,3.6,3.8,4.1000000000000005,2.4000000000000004,2,2,4,3,7,3,1,1,4,4,0.0,0.0,1
1920,4,2019-08-31,crystal palace,1.4,1-0,0.4,aston villa,Kevin Friend,230f4fac,1753.17590332,1625.97106934,"['Vicente Guaita', 'Joel Ward', 'Patrick van Aanholt', 'Luka Milivojević', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Wilfried Zaha', 'Jeffrey Schlupp', 'James McArthur', 'Gary Cahill', 'Martin Kelly']","['Tom Heaton', 'Neil Taylor', 'Douglas Luiz', 'John McGinn', 'Wesley Moraes', 'Jack Grealish', 'Trézéguet', 'Björn Engels', 'Jota', 'Frederic Guilbert', 'Tyrone Mings']",0.132,-0.086,2.3,3.7,5.800000000000001,5.3,1,0,2,4,2,5,3,0,4,3,0.0,0.0,0
1920,4,2019-08-31,leicester city,2.0,3-1,0.6,bournemouth,Peter Bankes,3d899563,1756.99560547,1700.01367188,"['Kasper Schmeichel', 'Ben Chilwell', 'Çağlar Söyüncü', 'Jonny Evans', 'Youri Tielemans', 'Jamie Vardy', 'James Maddison', 'Marc Albrighton', 'Harvey Barnes', 'Ricardo Pereira', 'Wilfred Ndidi']","['Aaron Ramsdale', 'Steve Cook', 'Nathan Aké', 'Joshua King', 'Jefferson Lerma', 'Callum Wilson', 'Adam Smith', 'Harry Wilson', 'Ryan Fraser', 'Philip Billing', 'Chris Mepham']",0.386,0.203,2.3,5.1000000000000005,2.1,6.3,3,1,3,4,2,5,3,0,5,4,0.0,0.0,0
1920,4,2019-08-31,manchester city,1.9,4-0,0.9,brighton,Jonathan Moss,5b9865ad,2049.29321289,1632.16833496,"['Ederson', 'Kyle Walker', 'Raheem Sterling', 'Sergio Agüero', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Rodri', 'Kevin De Bruyne', 'David Silva', 'Riyad Mahrez', 'Nicolás Otamendi']","['Mathew Ryan', 'Lewis Dunk', 'Dale Stephens', 'Neal Maupay', 'Leandro Trossard', 'Adam Webster', 'Solly March', 'Martín Montoya', 'Davy Pröpper', 'Bernardo', 'Dan Burn']",1.5539999999999998,0.07,9.1,3.6,3.4000000000000004,3.2,4,0,10,4,3,3,3,0,7,4,0.0,0.0,0
1920,4,2019-08-31,newcastle utd,1.0,1-1,1.0,watford,Graham Scott,533c240c,1720.53259277,1658.2376709,"['Martin Dúbravka', 'Paul Dummett', 'Fabian Schär', 'Jamaal Lascelles', 'Joelinton', 'Isaac Hayden', 'Jetro Willems', 'Emil Krafth', 'Miguel Almirón', 'Christian Atsu', 'Sean Longstaff']","['Ben Foster', 'Daryl Janmaat', 'Craig Dawson', 'Tom Cleverley', 'Craig Cathcart', 'Abdoulaye Doucouré', 'Andre Gray', 'Will Hughes', 'Kiko Femenía', 'Christian Kabasele', 'Roberto Pereyra']",0.12,0.065,2.1,4.199999999999999,3.9000000000000004,5.0,1,1,2,1,4,7,1,1,3,0,0.0,0.0,1
1920,4,2019-08-31,southampton,0.9,1-1,1.5,manchester utd,Mike Dean,bfd4d929,1682.74060059,1847.31396484,"['Angus Gunn', 'Cédric Soares', 'Jannik Vestergaard', 'Danny Ings', 'Che Adams', 'Oriol Romeu', 'James Ward-Prowse', 'Sofiane Boufal', 'Pierre Højbjerg', 'Jan Bednarek', 'Kevin Danso']","['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Paul Pogba', 'Juan Mata', 'Marcus Rashford', 'Andreas Pereira', 'Ashley Young', 'Daniel James', 'Aaron Wan-Bissaka', 'Scott McTominay']",0.148,0.365,4.8,5.9,3.0,2.4000000000000004,1,1,3,6,5,3,1,1,3,4,0.0,0.0,1
1920,4,2019-08-31,west ham,2.0,2-0,1.4,norwich city,Paul Tierney,164148a8,1742.69213867,1645.66796875,"['Łukasz Fabiański', 'Andriy Yarmolenko', 'Felipe Anderson', 'Manuel Lanzini', 'Mark Noble', 'Angelo Ogbonna', 'Sébastien Haller', 'Issa Diop', 'Ryan Fredericks', 'Arthur Masuaku', 'Declan Rice']","['Tim Krul', 'Max Aarons', 'Ben Godfrey', 'Christoph Zimmermann', 'Moritz Leitner', 'Jamal Lewis', 'Todd Cantwell', 'Emi Buendía', 'Marco Stiepermann', 'Tom Trybull', 'Teemu Pukki']",0.18,0.0,5.4,3.7,7.5,4.2,2,0,4,6,7,8,3,0,4,3,0.0,0.0,0
