Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,League,target,G/PG,GC/PG,xG/PG,xGA/PG,Top_Team_Scorer
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Bayern Munich,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,Bundesliga,0,2.71,1.12,2.21,1.09,14
2,Dortmund,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,Bundesliga,0,2.44,1.29,2.09,1.27,9
3,RB Leipzig,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,Bundesliga,0,1.88,1.21,1.84,1.09,16
4,Union Berlin,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,Bundesliga,0,1.5,1.12,1.11,1.25,11
5,Freiburg,34,17,8,9,51,44,7,59,1.74,48.0,48.8,-0.8,-0.02,Bundesliga,1,1.5,1.29,1.41,1.44,15
6,Leverkusen,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,Bundesliga,1,1.68,1.44,1.51,1.26,9
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Bayern Munich,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,Bundesliga,0,2.71,1.12,2.21,1.09,14
2,Dortmund,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,Bundesliga,0,2.44,1.29,2.09,1.27,9
3,RB Leipzig,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,Bundesliga,0,1.88,1.21,1.84,1.09,16
4,Union Berlin,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,Bundesliga,0,1.5,1.12,1.11,1.25,11
5,Freiburg,34,17,8,9,51,44,7,59,1.74,48.0,48.8,-0.8,-0.02,Bundesliga,1,1.5,1.29,1.41,1.44,15
6,Leverkusen,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,Bundesliga,1,1.68,1.44,1.51,1.26,9
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Bayern Munich,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,Bundesliga,0,2.71,1.12,2.21,1.09,14
2,Dortmund,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,Bundesliga,0,2.44,1.29,2.09,1.27,9
3,RB Leipzig,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,Bundesliga,0,1.88,1.21,1.84,1.09,16
4,Union Berlin,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,Bundesliga,0,1.5,1.12,1.11,1.25,11
5,Freiburg,34,17,8,9,51,44,7,59,1.74,48.0,48.8,-0.8,-0.02,Bundesliga,1,1.5,1.29,1.41,1.44,15
6,Leverkusen,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,Bundesliga,1,1.68,1.44,1.51,1.26,9
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Bayern Munich,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,Bundesliga,0,2.71,1.12,2.21,1.09,14
2,Dortmund,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,Bundesliga,0,2.44,1.29,2.09,1.27,9
3,RB Leipzig,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,Bundesliga,0,1.88,1.21,1.84,1.09,16
4,Union Berlin,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,Bundesliga,0,1.5,1.12,1.11,1.25,11
5,Freiburg,34,17,8,9,51,44,7,59,1.74,48.0,48.8,-0.8,-0.02,Bundesliga,1,1.5,1.29,1.41,1.44,15
6,Leverkusen,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,Bundesliga,1,1.68,1.44,1.51,1.26,9
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Bayern Munich,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,Bundesliga,0,2.71,1.12,2.21,1.09,14
2,Dortmund,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,Bundesliga,0,2.44,1.29,2.09,1.27,9
3,RB Leipzig,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,Bundesliga,0,1.88,1.21,1.84,1.09,16
4,Union Berlin,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,Bundesliga,0,1.5,1.12,1.11,1.25,11
5,Freiburg,34,17,8,9,51,44,7,59,1.74,48.0,48.8,-0.8,-0.02,Bundesliga,1,1.5,1.29,1.41,1.44,15
6,Leverkusen,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,Bundesliga,1,1.68,1.44,1.51,1.26,9
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Bayern Munich,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,Bundesliga,0,2.71,1.12,2.21,1.09,14
2,Dortmund,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,Bundesliga,0,2.44,1.29,2.09,1.27,9
3,RB Leipzig,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,Bundesliga,0,1.88,1.21,1.84,1.09,16
4,Union Berlin,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,Bundesliga,0,1.5,1.12,1.11,1.25,11
5,Freiburg,34,17,8,9,51,44,7,59,1.74,48.0,48.8,-0.8,-0.02,Bundesliga,1,1.5,1.29,1.41,1.44,15
6,Leverkusen,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,Bundesliga,1,1.68,1.44,1.51,1.26,9
7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,Bundesliga,1,1.71,1.53,1.53,1.28,15
8,Wolfsburg,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,Bundesliga,1,1.68,1.41,1.51,1.51,6
9,Mainz 05,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,Bundesliga,1,1.59,1.62,1.39,1.58,10
10,M'Gladbach,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,Bundesliga,1,1.53,1.62,1.53,1.57,13
11,Köln,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,Bundesliga,1,1.44,1.59,1.41,1.25,7
12,Hoffenheim,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,Bundesliga,1,1.41,1.68,1.41,1.5,12
13,Werder Bremen,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,Bundesliga,1,1.5,1.88,1.21,1.56,16
14,Bochum,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,Bundesliga,1,1.18,2.12,1.18,1.93,8
15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.8,-24.0,-0.71,Bundesliga,2,1.24,1.85,1.02,1.73,9
16,Stuttgart,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,Bundesliga,2,1.32,1.68,1.4,1.33,11
17,Schalke 04,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,Bundesliga,2,1.03,2.09,1.16,1.68,11
18,Hertha BSC,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,Bundesliga,2,1.24,2.03,1.16,1.76,11
1,Heidenheim,34,19,10,5,67,36,31,67,1.97,47.6,35.8,11.8,0.35,2_Bundesliga,0,1.97,1.06,1.4,1.05,25
2,Darmstadt 98,34,20,7,7,50,33,17,67,1.97,48.5,40.9,7.6,0.22,2_Bundesliga,0,1.47,0.97,1.43,1.2,12
3,Hamburger SV,34,20,6,8,70,45,25,66,1.94,63.7,45.3,18.4,0.54,2_Bundesliga,0,2.06,1.32,1.87,1.33,19
4,Düsseldorf,34,17,7,10,60,43,17,58,1.71,53.6,41.6,12.0,0.35,2_Bundesliga,0,1.76,1.26,1.58,1.22,14
5,St. Pauli,34,16,10,8,55,39,16,58,1.71,49.1,34.4,14.8,0.43,2_Bundesliga,1,1.62,1.15,1.44,1.01,9
6,Paderborn 07,34,16,7,11,68,44,24,55,1.62,63.8,45.2,18.6,0.55,2_Bundesliga,1,2.0,1.29,1.88,1.33,11
7,Karlsruher,34,13,7,14,56,53,3,46,1.35,52.2,45.0,7.2,0.21,2_Bundesliga,1,1.65,1.56,1.54,1.32,13
8,Holstein Kiel,34,12,10,12,58,61,-3,46,1.35,54.6,50.1,4.5,0.13,2_Bundesliga,1,1.71,1.79,1.61,1.47,15
9,Kaiserslautern,34,11,12,11,47,48,-1,45,1.32,46.7,40.6,6.1,0.18,2_Bundesliga,1,1.38,1.41,1.37,1.19,13
10,Hannover 96,34,12,8,14,50,55,-5,44,1.29,43.3,57.5,-14.2,-0.42,2_Bundesliga,1,1.47,1.62,1.27,1.69,14
11,Magdeburg,34,12,7,15,48,55,-7,43,1.26,42.8,58.6,-15.8,-0.46,2_Bundesliga,1,1.41,1.62,1.26,1.72,10
12,Greuther Fürth,34,10,11,13,47,50,-3,41,1.21,44.4,44.4,0.1,0.0,2_Bundesliga,1,1.38,1.47,1.31,1.31,11
13,Hansa Rostock,34,12,5,17,32,48,-16,41,1.21,37.0,48.4,-11.4,-0.33,2_Bundesliga,1,0.94,1.41,1.09,1.42,10
14,Nürnberg,34,10,9,15,32,49,-17,39,1.15,36.5,43.3,-6.8,-0.2,2_Bundesliga,1,0.94,1.44,1.07,1.27,11
15,Braunschweig,34,9,9,16,42,59,-17,36,1.06,37.8,53.8,-16.0,-0.47,2_Bundesliga,2,1.24,1.74,1.11,1.58,10
16,Arminia,34,9,7,18,50,62,-12,34,1.0,43.9,48.9,-5.0,-0.15,2_Bundesliga,2,1.47,1.82,1.29,1.44,10
17,Jahn R'burg,34,8,7,19,34,58,-24,31,0.91,37.4,47.1,-9.7,-0.29,2_Bundesliga,2,1.0,1.71,1.1,1.39,9
18,Sandhausen,34,7,7,20,35,63,-28,28,0.82,33.3,55.4,-22.1,-0.65,2_Bundesliga,2,1.03,1.85,0.98,1.63,6
1,Heidenheim,34,19,10,5,67,36,31,67,1.97,47.6,35.8,11.8,0.35,2_Bundesliga,0,1.97,1.06,1.4,1.05,25
2,Darmstadt 98,34,20,7,7,50,33,17,67,1.97,48.5,40.9,7.6,0.22,2_Bundesliga,0,1.47,0.97,1.43,1.2,12
3,Hamburger SV,34,20,6,8,70,45,25,66,1.94,63.7,45.3,18.4,0.54,2_Bundesliga,0,2.06,1.32,1.87,1.33,19
4,Düsseldorf,34,17,7,10,60,43,17,58,1.71,53.6,41.6,12.0,0.35,2_Bundesliga,0,1.76,1.26,1.58,1.22,14
5,St. Pauli,34,16,10,8,55,39,16,58,1.71,49.1,34.4,14.8,0.43,2_Bundesliga,1,1.62,1.15,1.44,1.01,9
6,Paderborn 07,34,16,7,11,68,44,24,55,1.62,63.8,45.2,18.6,0.55,2_Bundesliga,1,2.0,1.29,1.88,1.33,11
7,Karlsruher,34,13,7,14,56,53,3,46,1.35,52.2,45.0,7.2,0.21,2_Bundesliga,1,1.65,1.56,1.54,1.32,13
8,Holstein Kiel,34,12,10,12,58,61,-3,46,1.35,54.6,50.1,4.5,0.13,2_Bundesliga,1,1.71,1.79,1.61,1.47,15
9,Kaiserslautern,34,11,12,11,47,48,-1,45,1.32,46.7,40.6,6.1,0.18,2_Bundesliga,1,1.38,1.41,1.37,1.19,13
10,Hannover 96,34,12,8,14,50,55,-5,44,1.29,43.3,57.5,-14.2,-0.42,2_Bundesliga,1,1.47,1.62,1.27,1.69,14
11,Magdeburg,34,12,7,15,48,55,-7,43,1.26,42.8,58.6,-15.8,-0.46,2_Bundesliga,1,1.41,1.62,1.26,1.72,10
12,Greuther Fürth,34,10,11,13,47,50,-3,41,1.21,44.4,44.4,0.1,0.0,2_Bundesliga,1,1.38,1.47,1.31,1.31,11
13,Hansa Rostock,34,12,5,17,32,48,-16,41,1.21,37.0,48.4,-11.4,-0.33,2_Bundesliga,1,0.94,1.41,1.09,1.42,10
14,Nürnberg,34,10,9,15,32,49,-17,39,1.15,36.5,43.3,-6.8,-0.2,2_Bundesliga,1,0.94,1.44,1.07,1.27,11
15,Braunschweig,34,9,9,16,42,59,-17,36,1.06,37.8,53.8,-16.0,-0.47,2_Bundesliga,2,1.24,1.74,1.11,1.58,10
16,Arminia,34,9,7,18,50,62,-12,34,1.0,43.9,48.9,-5.0,-0.15,2_Bundesliga,2,1.47,1.82,1.29,1.44,10
17,Jahn R'burg,34,8,7,19,34,58,-24,31,0.91,37.4,47.1,-9.7,-0.29,2_Bundesliga,2,1.0,1.71,1.1,1.39,9
18,Sandhausen,34,7,7,20,35,63,-28,28,0.82,33.3,55.4,-22.1,-0.65,2_Bundesliga,2,1.03,1.85,0.98,1.63,6
1,Heidenheim,34,19,10,5,67,36,31,67,1.97,47.6,35.8,11.8,0.35,2_Bundesliga,0,1.97,1.06,1.4,1.05,25
2,Darmstadt 98,34,20,7,7,50,33,17,67,1.97,48.5,40.9,7.6,0.22,2_Bundesliga,0,1.47,0.97,1.43,1.2,12
3,Hamburger SV,34,20,6,8,70,45,25,66,1.94,63.7,45.3,18.4,0.54,2_Bundesliga,0,2.06,1.32,1.87,1.33,19
4,Düsseldorf,34,17,7,10,60,43,17,58,1.71,53.6,41.6,12.0,0.35,2_Bundesliga,0,1.76,1.26,1.58,1.22,14
5,St. Pauli,34,16,10,8,55,39,16,58,1.71,49.1,34.4,14.8,0.43,2_Bundesliga,1,1.62,1.15,1.44,1.01,9
6,Paderborn 07,34,16,7,11,68,44,24,55,1.62,63.8,45.2,18.6,0.55,2_Bundesliga,1,2.0,1.29,1.88,1.33,11
7,Karlsruher,34,13,7,14,56,53,3,46,1.35,52.2,45.0,7.2,0.21,2_Bundesliga,1,1.65,1.56,1.54,1.32,13
8,Holstein Kiel,34,12,10,12,58,61,-3,46,1.35,54.6,50.1,4.5,0.13,2_Bundesliga,1,1.71,1.79,1.61,1.47,15
9,Kaiserslautern,34,11,12,11,47,48,-1,45,1.32,46.7,40.6,6.1,0.18,2_Bundesliga,1,1.38,1.41,1.37,1.19,13
10,Hannover 96,34,12,8,14,50,55,-5,44,1.29,43.3,57.5,-14.2,-0.42,2_Bundesliga,1,1.47,1.62,1.27,1.69,14
11,Magdeburg,34,12,7,15,48,55,-7,43,1.26,42.8,58.6,-15.8,-0.46,2_Bundesliga,1,1.41,1.62,1.26,1.72,10
12,Greuther Fürth,34,10,11,13,47,50,-3,41,1.21,44.4,44.4,0.1,0.0,2_Bundesliga,1,1.38,1.47,1.31,1.31,11
13,Hansa Rostock,34,12,5,17,32,48,-16,41,1.21,37.0,48.4,-11.4,-0.33,2_Bundesliga,1,0.94,1.41,1.09,1.42,10
14,Nürnberg,34,10,9,15,32,49,-17,39,1.15,36.5,43.3,-6.8,-0.2,2_Bundesliga,1,0.94,1.44,1.07,1.27,11
15,Braunschweig,34,9,9,16,42,59,-17,36,1.06,37.8,53.8,-16.0,-0.47,2_Bundesliga,2,1.24,1.74,1.11,1.58,10
16,Arminia,34,9,7,18,50,62,-12,34,1.0,43.9,48.9,-5.0,-0.15,2_Bundesliga,2,1.47,1.82,1.29,1.44,10
17,Jahn R'burg,34,8,7,19,34,58,-24,31,0.91,37.4,47.1,-9.7,-0.29,2_Bundesliga,2,1.0,1.71,1.1,1.39,9
18,Sandhausen,34,7,7,20,35,63,-28,28,0.82,33.3,55.4,-22.1,-0.65,2_Bundesliga,2,1.03,1.85,0.98,1.63,6
1,Heidenheim,34,19,10,5,67,36,31,67,1.97,47.6,35.8,11.8,0.35,2_Bundesliga,0,1.97,1.06,1.4,1.05,25
2,Darmstadt 98,34,20,7,7,50,33,17,67,1.97,48.5,40.9,7.6,0.22,2_Bundesliga,0,1.47,0.97,1.43,1.2,12
3,Hamburger SV,34,20,6,8,70,45,25,66,1.94,63.7,45.3,18.4,0.54,2_Bundesliga,0,2.06,1.32,1.87,1.33,19
4,Düsseldorf,34,17,7,10,60,43,17,58,1.71,53.6,41.6,12.0,0.35,2_Bundesliga,0,1.76,1.26,1.58,1.22,14
5,St. Pauli,34,16,10,8,55,39,16,58,1.71,49.1,34.4,14.8,0.43,2_Bundesliga,1,1.62,1.15,1.44,1.01,9
6,Paderborn 07,34,16,7,11,68,44,24,55,1.62,63.8,45.2,18.6,0.55,2_Bundesliga,1,2.0,1.29,1.88,1.33,11
7,Karlsruher,34,13,7,14,56,53,3,46,1.35,52.2,45.0,7.2,0.21,2_Bundesliga,1,1.65,1.56,1.54,1.32,13
8,Holstein Kiel,34,12,10,12,58,61,-3,46,1.35,54.6,50.1,4.5,0.13,2_Bundesliga,1,1.71,1.79,1.61,1.47,15
9,Kaiserslautern,34,11,12,11,47,48,-1,45,1.32,46.7,40.6,6.1,0.18,2_Bundesliga,1,1.38,1.41,1.37,1.19,13
10,Hannover 96,34,12,8,14,50,55,-5,44,1.29,43.3,57.5,-14.2,-0.42,2_Bundesliga,1,1.47,1.62,1.27,1.69,14
11,Magdeburg,34,12,7,15,48,55,-7,43,1.26,42.8,58.6,-15.8,-0.46,2_Bundesliga,1,1.41,1.62,1.26,1.72,10
12,Greuther Fürth,34,10,11,13,47,50,-3,41,1.21,44.4,44.4,0.1,0.0,2_Bundesliga,1,1.38,1.47,1.31,1.31,11
